Game type,Rating range,Piece,Colour,Value (%),Games' count
Bullet,1900-2200,rook,black,46.628787878787875,1418
Bullet,1900-2200,queen,white,97.38751814223512,1418
Bullet,1900-2200,queen,black,97.27272727272728,1418
Bullet,2200-2500,pawn,white,9.166666666666666,240
Bullet,2200-2500,pawn,black,9.072580645161292,240
Bullet,2200-2500,knight,white,36.666666666666664,240
Bullet,2200-2500,knight,black,34.87903225806451,240
Bullet,2200-2500,bishop,white,35.71428571428571,240
Bullet,2200-2500,bishop,black,33.46774193548387,240
Bullet,2200-2500,rook,white,49.04761904761905,240
Bullet,2200-2500,rook,black,47.17741935483871,240
Bullet,2200-2500,queen,white,98.57142857142858,240
Bullet,2200-2500,queen,black,96.37096774193549,240
Blitz,700-1000,pawn,white,7.890625,230
Blitz,700-1000,pawn,black,8.823529411764705,230
Blitz,700-1000,knight,white,35.3125,230
Blitz,700-1000,knight,black,35.661764705882355,230
Blitz,700-1000,bishop,white,37.03125,230
Blitz,700-1000,bishop,black,38.23529411764706,230
Blitz,700-1000,rook,white,45.3125,230
Blitz,700-1000,rook,black,46.32352941176471,230
Blitz,700-1000,queen,white,93.4375,230
Blitz,700-1000,queen,black,97.79411764705883,230
Blitz,1000-1300,pawn,white,8.005249343832022,667
Blitz,1000-1300,pawn,black,7.830188679245284,667
Blitz,1000-1300,knight,white,33.53018372703412,667
Blitz,1000-1300,knight,black,32.54716981132076,667
Blitz,1000-1300,bishop,white,34.120734908136484,667
Blitz,1000-1300,bishop,black,32.83018867924528,667
Blitz,1000-1300,rook,white,43.24146981627296,667
Blitz,1000-1300,rook,black,43.30188679245283,667
Blitz,1000-1300,queen,white,94.09448818897638,667
Blitz,1000-1300,queen,black,90.9433962264151,667
Blitz,1300-1600,pawn,white,7.968725319854682,12272
Blitz,1300-1600,pawn,black,7.765494744472637,12272
Blitz,1300-1600,knight,white,34.00331701153056,12272
Blitz,1300-1600,knight,black,33.748640811888365,12272
Blitz,1300-1600,bishop,white,34.31527404833359,12272
Blitz,1300-1600,bishop,black,33.46321130844508,12272
Blitz,1300-1600,rook,white,44.874427420628656,12272
Blitz,1300-1600,rook,black,45.102392171076474,12272
Blitz,1300-1600,queen,white,94.85863212762597,12272
Blitz,1300-1600,queen,black,95.94961942732874,12272
Blitz,1600-1900,pawn,white,8.22763361735089,10325
Blitz,1600-1900,pawn,black,8.257270218637231,10325
Blitz,1600-1900,knight,white,34.086948102246325,10325
Blitz,1600-1900,knight,black,33.06092124814264,10325
Blitz,1600-1900,bishop,white,34.493609604957406,10325
